,container,namespace,node,pod,2022-04-23_13_00_00,2022-04-23_13_01_00,2022-04-23_13_02_00,2022-04-23_13_03_00,2022-04-23_13_04_00,2022-04-23_13_05_00,2022-04-23_13_06_00,2022-04-23_13_07_00,2022-04-23_13_08_00,2022-04-23_13_09_00,2022-04-23_13_10_00,2022-04-23_13_11_00,2022-04-23_13_12_00,2022-04-23_13_13_00,2022-04-23_13_14_00,2022-04-23_13_15_00,2022-04-23_13_16_00,2022-04-23_13_17_00,2022-04-23_13_18_00,2022-04-23_13_19_00,2022-04-23_13_20_00,2022-04-23_13_21_00,2022-04-23_13_22_00,2022-04-23_13_23_00,2022-04-23_13_24_00,2022-04-23_13_25_00,2022-04-23_13_26_00,2022-04-23_13_27_00,2022-04-23_13_28_00,2022-04-23_13_29_00,2022-04-23_13_30_00,2022-04-23_13_31_00,2022-04-23_13_32_00,2022-04-23_13_33_00,2022-04-23_13_34_00,2022-04-23_13_35_00,2022-04-23_13_36_00,2022-04-23_13_37_00,2022-04-23_13_38_00,2022-04-23_13_39_00,2022-04-23_13_40_00,2022-04-23_13_41_00,2022-04-23_13_42_00,2022-04-23_13_43_00,2022-04-23_13_44_00,2022-04-23_13_45_00,2022-04-23_13_46_00,2022-04-23_13_47_00,2022-04-23_13_48_00,2022-04-23_13_49_00,2022-04-23_13_50_00,2022-04-23_13_51_00,2022-04-23_13_52_00,2022-04-23_13_53_00,2022-04-23_13_54_00,2022-04-23_13_55_00,2022-04-23_13_56_00,2022-04-23_13_57_00,2022-04-23_13_58_00,2022-04-23_13_59_00,2022-04-23_14_00_00
0,acm-agent,open-cluster-management-agent-addon,oct-03-08-compute,klusterlet-addon-workmgr-7b9f55df74-rkcdh,0.013589472474074717,0.011214050463529236,0.00950455616114433,0.006079738340540976,0.003087270955804637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,alertmanager,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.007652367764164334,0.006062667457179063,0.008459711145218148,0.008826397438021787,0.008465783103445128,0.006301652396785996,0.007876879414814337,0.008050078814812877,0.00891008610740553,0.008524480644444811,0.009375115866667465,0.008963937692590629,0.00869504957777786,0.009152765540740668,0.009277921429630052,0.009174964414816916,0.008932644666664501,0.008019670348147446,0.00800589516666824,0.00800951403703544,0.00831809611481394,0.008005664551850108,0.008411578055556338,0.00858271786666457,0.008465847070369313,0.008576126496296235,0.008949443511112433,0.008840043248148032,0.008954005070369964,0.008847161503706081,0.009035643566666194,0.008678600355556733,0.008950315670369526,0.008605992688889173,0.008484018448146984,0.008567093522223904,0.008673173670370118,0.008960676259259883,0.008962014588888888,0.008525472455554942,0.008958204826774702,0.008785712929629545,0.00881974358889137,0.00849531930370412,0.008354759640739454,0.008767977107405992,0.00850835910000064,0.008486039751851086,0.008055077344444592,0.008241604559259066,0.008530927133331177,0.008747417274076321,0.008890117655556862,0.008361556329631033,0.0084397182592612,0.008858146374071415,0.009149053981481203,0.008569560133333586,0.008386992503703908,0.008650032135608096,0.008530234955553708
2,alertmanager,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.007862261374073032,0.00623827330712251,0.004795832311812258,0.003032786601129402,0.001758078340280866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,alertmanager,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.004838658607407827,0.004257632975682412,0.0032160876511427975,0.0019551443237588824,0.000627715454500265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,alertmanager-proxy,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.0058539710263697834,0.0050078846895330025,0.006457497051852207,0.006049500344444688,0.006003431540742625,0.0043800370866104365,0.005501193125925325,0.005567306837039925,0.005646537903703575,0.0056285436629608466,0.005646288092591729,0.006188756696297384,0.005870497596296681,0.005984215785186583,0.005531317662960781,0.005441161892593771,0.005500227590573163,0.005585446133331802,0.005641539288889262,0.005721028493438439,0.0061834181555544395,0.0060642968074076905,0.006210335492589905,0.005705540774074002,0.0062564085407386845,0.006027581614816208,0.005529873240741129,0.0056210488222219555,0.005425722200002552,0.005427339033334041,0.005913851277775259,0.005646287870371857,0.005636772966668273,0.005737894488888911,0.005819956862962028,0.005641928792593481,0.005704142788888728,0.0055258631777784705,0.0058697976592594825,0.006024319711111646,0.005557828099999488,0.005846347218519239,0.0058380668074076115,0.005693884329627542,0.005591518077778379,0.005804682292593363,0.0053955693740742085,0.005472134262961643,0.0052168855111126,0.005322112203703,0.005288952118516372,0.005468100066668235,0.005521846588891532,0.005204531981484319,0.005154625629630674,0.0052163843629656455,0.005310556762961588,0.005636247261008993,0.006012340543022555,0.005828156170368689,0.005705807733334546
5,alertmanager-proxy,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.006537231592591088,0.005498285968896445,0.006202913425925175,0.005863829066664849,0.006273321488889553,0.004836158719578792,0.006236675470369882,0.00630967395555773,0.006654390855554221,0.00609517051481345,0.006148742977779034,0.006107366455553685,0.006057537992593874,0.006166292103703369,0.0064249322111108,0.006161900329630887,0.0060692768888892966,0.0064880876629643,0.00626607314814936,0.006470420025925706,0.006368687003702724,0.006214173829630455,0.005995554429628775,0.006393953988888961,0.0061390185777781894,0.0065033635111090195,0.00607459853333273,0.00650073894074147,0.0063672259703707835,0.00633776952992024,0.006024495625927188,0.006779394481479056,0.006734794737035878,0.006471400351852533,0.006540171955556517,0.006658507329629412,0.006104159655552833,0.006382201588891165,0.006357486492591611,0.005937080114812557,0.006224747662963638,0.00621729085925701,0.006473942733332985,0.005891672711112296,0.006412097974074036,0.0063007830592579465,0.0064796165999993095,0.006401346411112847,0.006765271614814859,0.006499420016742527,0.006666306129628303,0.00658679688518465,0.006175802785185592,0.0060421740592607465,0.006247069896296497,0.006132355733333735,0.006414476048148237,0.0066603047703716195,0.006581241918519045,0.006783224129628287,0.006563383874072316
6,alertmanager-proxy,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.0034932508296302935,0.003250718400000484,0.003469511555556016,0.0034311020740746987,0.003529212623796322,0.0029576230368695594,0.0035293571925918785,0.003446095948147895,0.003421337970370654,0.003302858240741208,0.0035775313333336572,0.003548308099999742,0.003553229966667425,0.0035314092259273754,0.003551176262964065,0.003535988629630959,0.003339073970369942,0.003434627603702986,0.0031788989777784015,0.003397790944444313,0.003382199048147177,0.00311798308148186,0.003515160692593242,0.0034588065333334985,0.003409963285186543,0.0034100329296304866,0.0032520884740750737,0.003365862562961613,0.003426289774075418,0.0033379264777775265,0.00314259695925877,0.003438468937038461,0.0033649894074069715,0.0033378792074068367,0.0035033760120302777,0.003645702507406491,0.003559701292592595,0.003619551488890028,0.003561909859259955,0.0034409299822592584,0.0032697015370373537,0.003377486714815085,0.003414670362963079,0.0031947366703695516,0.003342087162962815,0.003064826933334391,0.003200104522223531,0.0033359965925419763,0.0033386580148157072,0.00324949242222256,0.003355281244444928,0.0034011375814804556,0.0035046581222222474,0.0035185378296285273,0.0034431159777779147,0.0035127478888895254,0.0035318968888885948,0.003413875196296161,0.003279954707408319,0.0033322980333330768,0.0033310108518519515
7,amun-api,thoth-amun-api-prod,oct-03-15-compute,amun-api-2-44r7x,0.0005014590777776633,0.00044839190237159625,0.0004892572185174989,0.0005171458407420249,0.0005168791296286886,0.00038602064067899965,0.0005162676703683381,0.000557320544444169,0.0005162819116813729,0.0005291029111133496,0.0005554682370361493,0.0005432283925950254,0.0005421675259269789,0.000534322962960653,0.0005230808296295841,0.0005601397370372541,0.0005378467888880955,0.0005370728407393068,0.0005353226259271819,0.0005492725407411517,0.0005304995592571989,0.0005098659407377893,0.0005044230296267347,0.0005086266333347777,0.0005400347222213761,0.0005413227111131602,0.0005409260481496017,0.0005629826074086682,0.0005445640666679268,0.0005350604555537252,0.0005100758481468668,0.0004958101037051098,0.00047738050370416774,0.00047812105555446275,0.00048754980370412576,0.0005210902777771817,0.000485965570368097,0.0005152388315623696,0.0005507989851846813,0.000569058844444549,0.0005359158518499667,0.00058076677407573,0.0005693843259265392,0.000544945696297132,0.0005405174888909204,0.0005534975111105369,0.0005493062962934212,0.0005208449037026084,0.0005211393925930208,0.0005673438407400143,0.000537538211109576,0.0005326941022666958,0.0005018157198805864,0.0005130693444428929,0.0005014033888882195,0.0004901476296321629,0.0005256669382740356,0.0005248902037035603,0.0005379838703717083,0.0005421690111116159,0.0005539562481485687
8,api,opf-pulp,oct-03-31-compute,pulp-api-5899cb8576-cdcvg,0.02678375183554315,0.022653600228011165,0.017855183365769217,0.010748989139848807,0.003313649922979324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,apicurio-bot,apicurio-apicurio-registry,oct-03-24-compute,apicurio-bot-75dc486b59-sz2wt,0.0005881128914784122,0.000485531491228139,0.0006146557296296528,0.0006190388555555476,0.0006320495296296048,0.000488649875962096,0.0006548597740742547,0.000595722807407305,0.0006130489370369325,0.0006186112962963206,0.0006197380740742474,0.0005795683703703853,0.0005879274481481355,0.0005618110444444297,0.000574281444444422,0.0005534549555555394,0.0005496192740740416,0.0005822433888887965,0.0005753754185183913,0.0005763310222221208,0.0005697723666666358,0.0005678415851851545,0.0006052967370370273,0.0005916731555554701,0.000591835014814832,0.0005912239888889165,0.0006155188185183997,0.0006373313777778044,0.0006410155259259312,0.0006172395000000371,0.0006046944222221016,0.0006366600148148202,0.0006035578888890491,0.0005924048370369898,0.0006295636407407478,0.0005692038814814808,0.0005775444592592925,0.0006089239222222677,0.0006076386592591613,0.0005623952407408641,0.0005912965074074876,0.0005841348681651626,0.0005922466629627892,0.0005818930407407927,0.0006290420962961384,0.0006348047592593031,0.000615146896296471,0.000653541159259366,0.0006191105296297624,0.0006341804370370702,0.0006112464037037761,0.000603225837036908,0.0005882782888887859,0.0005610767111111021,0.0005949591074073413,0.0005579400925924987,0.0005475619555555669,0.0005651059518518869,0.0005852376518518027,0.000579738918518539,0.0005886957370368809
