,container,namespace,node,pod,2022-04-23_01_00_00,2022-04-23_01_01_00,2022-04-23_01_02_00,2022-04-23_01_03_00,2022-04-23_01_04_00,2022-04-23_01_05_00,2022-04-23_01_06_00,2022-04-23_01_07_00,2022-04-23_01_08_00,2022-04-23_01_09_00,2022-04-23_01_10_00,2022-04-23_01_11_00,2022-04-23_01_12_00,2022-04-23_01_13_00,2022-04-23_01_14_00,2022-04-23_01_15_00,2022-04-23_01_16_00,2022-04-23_01_17_00,2022-04-23_01_18_00,2022-04-23_01_19_00,2022-04-23_01_20_00,2022-04-23_01_21_00,2022-04-23_01_22_00,2022-04-23_01_23_00,2022-04-23_01_24_00,2022-04-23_01_25_00,2022-04-23_01_26_00,2022-04-23_01_27_00,2022-04-23_01_28_00,2022-04-23_01_29_00,2022-04-23_01_30_00,2022-04-23_01_31_00,2022-04-23_01_32_00,2022-04-23_01_33_00,2022-04-23_01_34_00,2022-04-23_01_35_00,2022-04-23_01_36_00,2022-04-23_01_37_00,2022-04-23_01_38_00,2022-04-23_01_39_00,2022-04-23_01_40_00,2022-04-23_01_41_00,2022-04-23_01_42_00,2022-04-23_01_43_00,2022-04-23_01_44_00,2022-04-23_01_45_00,2022-04-23_01_46_00,2022-04-23_01_47_00,2022-04-23_01_48_00,2022-04-23_01_49_00,2022-04-23_01_50_00,2022-04-23_01_51_00,2022-04-23_01_52_00,2022-04-23_01_53_00,2022-04-23_01_54_00,2022-04-23_01_55_00,2022-04-23_01_56_00,2022-04-23_01_57_00,2022-04-23_01_58_00,2022-04-23_01_59_00,2022-04-23_02_00_00
0,acm-agent,open-cluster-management-agent-addon,oct-03-08-compute,klusterlet-addon-workmgr-7b9f55df74-rkcdh,71065600,71335936,71188480,71344128,71548928,71802880,71327744,71303168,71331840,71618560,71331840,71544832,71159808,74506240,71979008,71372800,71077888,70828032,71507968,70975488,71180288,71131136,71368704,72400896,71966720,72318976,72048640,71344128,72097792,71516160,71667712,71499776,71180288,73490432,71303168,71622656,71622656,71532544,71237632,71417856,71458816,71966720,71434240,72474624,71352320,70651904,70844416,71114752,71041024,71278592,71974912,71499776,71290880,72245248,71622656,71884800,70746112,71069696,71618560,71344128,70795264
1,alertmanager,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,44814336,43749376,43474944,45158400,43614208,43896832,43634688,41951232,43790336,44130304,44314624,45563904,43016192,43925504,43200512,44867584,44011520,44851200,46096384,44105728,45326336,42917888,46403584,45170688,43290624,44875776,43032576,45637632,45092864,44011520,45748224,44326912,46370816,45498368,43200512,45105152,45916160,45121536,44957696,43614208,46166016,43487232,43683840,45621248,46145536,43917312,46403584,44826624,43712512,44777472,45625344,43671552,43560960,43732992,43261952,43614208,43405312,43741184,46080000,45137920,45453312
2,alertmanager,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,46358528,46026752,45666304,45711360,45764608,45543424,46854144,45424640,45694976,46071808,45821952,46125056,45559808,46653440,45481984,45744128,45625344,45731840,45740032,46034944,45621248,45576192,45879296,45318144,46182400,45674496,45924352,45809664,47968256,47599616,45592576,46317568,46632960,45694976,45793280,45543424,46518272,45899776,45424640,45600768,45711360,46022656,45907968,45543424,46215168,46133248,45924352,45752320,45891584,45703168,45801472,45912064,46792704,45936640,45510656,45543424,45719552,46886912,45600768,45973504,45780992
3,alertmanager,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,43704320,44175360,44752896,44175360,43737088,43724800,43720704,43704320,43462656,43487232,43786240,43741184,44269568,43429888,44322816,43249664,43466752,44142592,43356160,43261952,43433984,44404736,43786240,44027904,43655168,43704320,43405312,44118016,43335680,43544576,43257856,43970560,43298816,43593728,43708416,43646976,44019712,43761664,43585536,43757568,43606016,44187648,43958272,43593728,43483136,44003328,44376064,43663360,43966464,44216320,43929600,43495424,44613632,43839488,44716032,43679744,43495424,43634688,44380160,43876352,43933696
4,alertmanager-proxy,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,52400128,52305920,52199424,52400128,52723712,52379648,52244480,52371456,52211712,52572160,52621312,52576256,52330496,52744192,52326400,52330496,52420608,52461568,52404224,52756480,52379648,52396032,52408320,52621312,52334592,52269056,52322304,52760576,52662272,52498432,52387840,52228096,52547584,52789248,52396032,52244480,52355072,52621312,52744192,52768768,52543488,52256768,52948992,52486144,52391936,52625408,52744192,52432896,52535296,52281344,52862976,52260864,52477952,52621312,52310016,52641792,52514816,52449280,52453376,52207616,52338688
5,alertmanager-proxy,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,50384896,50270208,50458624,50589696,50769920,50499584,50475008,51019776,50327552,50925568,50544640,50552832,50446336,50675712,50372608,50429952,50843648,50491392,50634752,50262016,50573312,50585600,50499584,50409472,50409472,50270208,50524160,50675712,50913280,50667520,50597888,50343936,50741248,50536448,50606080,50233344,50675712,50450432,50622464,50315264,50593792,50573312,51027968,50556928,50622464,50397184,50343936,50470912,50585600,50311168,50434048,50507776,50368512,50380800,50397184,50540544,50503680,50601984,50360320,50307072,50806784
6,alertmanager-proxy,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,45101056,45092864,45338624,45146112,45367296,45473792,45461504,45072384,45260800,44883968,45572096,45195264,45084672,45289472,45326336,45654016,45518848,45248512,45608960,45932544,45191168,45420544,45051904,46489600,45121536,45158400,45539328,45080576,45088768,45404160,45379584,45166592,45617152,45035520,45236224,45236224,44974080,45498368,45170688,45199360,45252608,45522944,44965888,45281280,45359104,44978176,45400064,45113344,44982272,45121536,45076480,45334528,44986368,45146112,45314048,45400064,45105152,45346816,45395968,44941312,45273088
7,amun-api,thoth-amun-api-prod,oct-03-15-compute,amun-api-2-44r7x,159023104,159023104,159023104,159023104,159023104,159023104,159023104,159023104,159023104,159023104,159154176,159023104,159023104,159023104,159023104,159023104,159023104,159023104,159023104,159080448,159080448,159084544,159088640,159088640,159219712,159088640,159088640,159084544,159092736,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159219712,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640,159088640
8,api,opf-pulp,oct-03-31-compute,pulp-api-5899cb8576-cdcvg,184848384,184717312,184844288,184983552,184844288,184717312,184717312,184737792,184733696,184975360,184721408,184975360,184713216,184721408,184725504,184721408,184721408,184717312,184721408,184721408,184721408,184844288,184852480,185106432,184844288,184717312,184713216,184717312,184717312,184713216,184713216,184713216,184713216,184721408,184721408,184713216,184717312,184717312,184713216,184713216,184725504,184717312,184713216,184717312,184856576,184721408,184721408,184717312,184975360,184844288,184717312,184975360,184848384,184721408,184975360,184844288,184844288,184729600,184860672,184725504,184848384
9,apicurio-bot,apicurio-apicurio-registry,oct-03-24-compute,apicurio-bot-75dc486b59-sz2wt,108986368,108986368,108978176,108998656,108990464,108998656,108986368,108998656,108994560,108998656,108990464,108986368,108986368,108986368,108986368,108990464,108990464,108990464,108990464,108994560,108982272,108982272,108986368,108982272,108982272,108990464,108990464,108990464,109002752,108994560,108994560,108986368,109015040,108998656,108994560,108986368,108978176,108978176,108982272,108982272,108982272,108982272,108994560,108994560,108994560,108994560,108986368,108990464,108998656,108998656,108998656,108994560,108994560,108994560,108994560,108994560,108994560,108986368,108986368,109002752,108994560
